group,nnm,nm
터널,창원1터널(동측),창원1
터널,창원1터널,창원1
터널,창원1터널,창원1
IC,북창원IC,북창원
JC,창원JC,창원
터널,창원2터널,창원2
IC,동창원IC,동창원
JC,진영JC,진영
휴게소,진영휴게소(부산),진영
터널,김해터널,김해
IC,진례IC,진례
JC,진례JC,진례
JC,냉정JC,냉정
JC,냉정JC,냉정
IC,서김해IC,서김해
IC,동김해IC,동김해
JC,김해JC,김해
TG,북부산TG,북부산
JC,대저JC,대저
IC,덕천IC,덕천
IC,구포IC,구포
IC,서순천IC,서순천
IC,순천IC,순천
JC,순천JC,순천
IC,광양IC,광양
IC,동광양IC,동광양
터널,광양터널,광양
IC,옥곡IC,옥곡
IC,진월IC,진월
IC,진월IC,진월
휴게소,섬진강휴게소(순천),섬진강
휴게소,섬진강휴게소(순천),섬진강
터널,하동터널,하동
터널,하동터널,하동
IC,하동IC,하동
IC,진교IC,진교
터널,진교터널,진교
IC,곤양IC,곤양
터널,사천터널,사천
휴게소,사천휴게소(순천),사천
IC,축동IC,축동
IC,사천IC,사천
JC,진주JC,진주
IC,진주IC,진주
휴게소,문산휴게소(순천),문산
IC,문산IC,문산
터널,진주1터널,진주1
터널,진주2터널,진주2
IC,진성IC,진성
IC,지수IC,지수
IC,군북IC,군북
휴게소,함안휴게소(순천),함안
IC,장지IC,장지
IC,함안IC,함안
JC,산인JC,산인
터널,함안1터널,함안1
JC,칠원JC,칠원
JC,칠원JC,칠원
터널,함안2터널,함안2
터널,함안2터널,함안2
터널,창원1터널(서측),창원1
터널,창원1터널,창원1
터널,창원1터널(동측),창원1
터널,창원1터널(동측),창원1
IC,북창원IC,북창원
터널,창원2터널,창원2
JC,창원JC,창원
IC,동창원IC,동창원
JC,진영JC,진영
휴게소,진영휴게소(순천),진영
터널,김해터널,김해
IC,진례IC,진례
JC,진례JC,진례
JC,냉정JC,냉정
JC,냉정JC,냉정
IC,서김해IC,서김해
IC,동김해IC,동김해
JC,김해JC,김해
TG,북부산TG,북부산
JC,대저JC,대저
IC,덕천IC,덕천
IC,구포IC,구포
점,영암시점(영암군학산면은곡리),영암시점(영암군학산면은곡리)
IC,서영암IC,서영암
TG,서영암TG,서영암
IC,서호학산IC,서호학산
IC,강진IC,강진
IC,장흥IC,장흥
IC,보성IC,보성
휴게소,보성녹차휴게소(광양),보성녹차
IC,벌교IC,벌교
IC,고흥IC,고흥
TG,남순천TG,남순천
IC,순천만IC,순천만
IC,도롱IC,도롱
IC,해룡IC,해룡
점,순천종점(순천시해룡면성산리),순천종점(순천시해룡면성산리)
점,영암시점(영암군학산면은곡리),영암시점(영암군학산면은곡리)
IC,서영암IC,서영암
TG,서영암TG,서영암
IC,서호학산IC,서호학산
IC,강진IC,강진
IC,장흥IC,장흥
IC,보성IC,보성
휴게소,보성녹차휴게소(무안),보성녹차
IC,벌교IC,벌교
IC,고흥IC,고흥
TG,남순천TG,남순천
IC,순천만IC,순천만
IC,도롱IC,도롱
IC,해룡IC,해룡
점,순천종점(순천시해룡면성산리),순천종점(순천시해룡면성산리)
교,남문대교,남문대교
IC,진해IC,진해
IC,대청IC,대청
IC,산본IC,산본
JC,진례JC,진례
교,남문대교,남문대교
IC,진해IC,진해
IC,대청IC,대청
IC,산본IC,산본
JC,진례JC,진례
JC,고서JC,고서
JC,담양JC,담양
IC,담양IC,담양
휴게소,강천산휴게소(대구),강천산
IC,순창IC,순창
터널,남원터널,남원
휴게소,남원휴게소(대구),남원
JC,남원JC,남원
IC,남원IC,남원
IC,동남원IC,동남원
휴게소,지리산휴게소(대구),지리산
IC,지리산IC,지리산
IC,지리산IC,지리산
IC,서함양IC,서함양
IC,서함양IC,서함양
IC,함양IC,함양
JC,함양JC,함양
휴게소,함양산삼골휴게소(대구),함양산삼골
IC,거창IC,거창
IC,가조IC,가조
휴게소,거창휴게소(대구),거창
IC,해인사IC,해인사
IC,고령IC,고령
IC,동고령IC,동고령
JC,고령JC,고령
휴게소,논공휴게소(대구),논공
JC,옥포JC,옥포
JC,고서JC,고서
JC,담양JC,담양
IC,담양IC,담양
휴게소,강천산휴게소(광주),강천산
IC,순창IC,순창
터널,남원터널,남원
JC,남원JC,남원
IC,남원IC,남원
IC,동남원IC,동남원
휴게소,지리산휴게소(고서),지리산
IC,지리산IC,지리산
IC,지리산IC,지리산
IC,서함양IC,서함양
IC,서함양IC,서함양
IC,함양IC,함양
JC,함양JC,함양
휴게소,함양산삼골휴게소(고서),함양산삼골
IC,거창IC,거창
IC,가조IC,가조
휴게소,거창휴게소(고서),거창
IC,해인사IC,해인사
IC,고령IC,고령
IC,동고령IC,동고령
JC,고령JC,고령
휴게소,논공휴게소(고서),논공
JC,옥포JC,옥포
IC,무안공항IC,무안공항
IC,북무안IC,북무안
JC,함평JC,함평
휴게소,함평나비휴게소(광주),함평나비
IC,동함평IC,동함평
터널,함평나비터널,함평나비
IC,문평IC,문평
IC,나주IC,나주
IC,서광산IC,서광산
TG,동광산TG,동광산
IC,운수IC,운수
IC,무안공항IC,무안공항
IC,북무안IC,북무안
JC,함평JC,함평
휴게소,함평나비휴게소(무안),함평나비
IC,동함평IC,동함평
터널,함평나비터널,함평나비
IC,문평IC,문평
IC,나주IC,나주
IC,서광산IC,서광산
TG,동광산TG,동광산
IC,운수IC,운수
JC,고창JC,고창
IC,남고창IC,남고창
터널,고창터널,고창
IC,장성물류IC,장성물류
터널,장성1터널,장성1
JC,장성JC,장성
터널,장성2터널,장성2
터널,장성3터널,장성3
터널,장성4터널,장성4
IC,북광주IC,북광주
터널,송강정터널,송강정
JC,담양JC,담양
JC,대덕JC,대덕
터널,문수산터널,문수산
JC,고창JC,고창
IC,남고창IC,남고창
터널,고창터널,고창
터널,문수산터널,문수산
IC,장성물류IC,장성물류
터널,장성1터널,장성1
JC,장성JC,장성
터널,장성2터널,장성2
터널,장성3터널,장성3
터널,장성4터널,장성4
IC,북광주IC,북광주
터널,송강정터널,송강정
JC,담양JC,담양
JC,대덕JC,대덕
JC,밀양JC,밀양
IC,배내골IC,배내골
JC,서울주JC,서울주
JC,울주JC,울주
JC,밀양JC,밀양
IC,배내골IC,배내골
JC,서울주JC,서울주
JC,울주JC,울주
점,서해안선시점,서해안선시점
IC,목포IC,목포
IC,일로IC,일로
TG,목포TG,목포
터널,몽탄3터널,몽탄3
터널,몽탄2터널,몽탄2
터널,몽탄1터널,몽탄1
터널,무안4터널,무안4
터널,무안3터널,무안3
터널,무안2터널,무안2
터널,무안1터널,무안1
IC,무안IC,무안
JC,함평JC,함평
IC,함평IC,함평
휴게소,함평휴게소(서울),함평
터널,함평터널,함평
터널,영광2터널,영광2
터널,영광1터널,영광1
IC,영광IC,영광
JC,고창JC,고창
IC,고창IC,고창
휴게소,고창고인돌휴게소(서울),고창고인돌
IC,선운산IC,선운산
IC,줄포IC,줄포
IC,부안IC,부안
IC,서김제IC,서김제
IC,동군산IC,동군산
터널,대명터널,대명
IC,군산IC,군산
휴게소,군산휴게소(서울),군산
JC,동서천JC,동서천
IC,서천IC,서천
터널,종천터널,종천
휴게소,서천휴게소(서울),서천
터널,비인터널,비인
