group,nnm,nm
IC,신북IC,신북
IC,남구리IC,남구리
IC,중랑IC,중랑
IC,남별내IC,남별내
IC,동의정부IC,동의정부
IC,민락IC,민락
IC,소흘IC,소흘
JC,소흘JC,소흘
IC,선단IC,선단
IC,포천IC,포천
IC,신북IC,신북
JC,청주JC,청주
IC,문의IC,문의
터널,문의1터널,문의1
터널,문의2터널,문의2
터널,피반령터널,피반령
IC,회인IC,회인
터널,회인터널,회인
터널,수리티터널,수리티
터널,수한터널,수한
IC,보은IC,보은
터널,탄부터널,탄부
IC,속리산IC,속리산
IC,구병산 하이패스IC,구병산 하이패스
휴게소,화서휴게소,화서
IC,화서IC,화서
터널,화서1터널,화서1
터널,화서2터널,화서2
터널,내서1터널,내서1
터널,내서2터널,내서2
터널,내서3터널,내서3
터널,내서4터널내,내서4
IC,남상주IC,남상주
JC,낙동JC,낙동
JC,상주JC,상주
IC,동상주IC,동상주
IC,서의성IC,서의성
휴게소,의성휴게소(영덕),의성
JC,안동JC,안동
IC,북의성IC,북의성
IC,동안동IC,동안동
휴게소,청송휴게소(영덕),청송
IC,청송IC,청송
IC,동청송영양IC,동청송영양
IC,영덕IC,영덕
점,청주영덕선종점,청주영덕선종점
JC,청주JC,청주
IC,문의IC,문의
터널,문의1터널,문의1
터널,문의2터널,문의2
터널,피반령터널,피반령
IC,회인IC,회인
터널,회인터널,회인
터널,수리티터널,수리티
터널,수한터널,수한
IC,보은IC,보은
터널,탄부터널,탄부
IC,속리산IC,속리산
휴게소,속리산휴게소,속리산
IC,구병산 하이패스IC,구병산 하이패스
IC,화서IC,화서
터널,화서1터널,화서1
터널,화서2터널,화서2
터널,내서1터널,내서1
터널,내서2터널,내서2
터널,내서3터널,내서3
터널,내서4터널내,내서4
IC,남상주IC,남상주
JC,낙동JC,낙동
JC,상주JC,상주
IC,동상주IC,동상주
IC,서의성IC,서의성
휴게소,의성휴게소(청주),의성
JC,안동JC,안동
IC,북의성IC,북의성
IC,동안동IC,동안동
휴게소,청송휴게소(청주),청송
IC,청송IC,청송
IC,동청송영양IC,동청송영양
IC,영덕IC,영덕
점,청주영덕선종점,청주영덕선종점
JC,당진JC,당진
IC,면천IC,면천
휴게소,면천임시휴게소,면천임시
IC,고덕IC,고덕
IC,예산수덕IC,예산수덕
터널,대흥터널,대흥
휴게소,예산휴게소(대전),예산
IC,신양IC,신양
터널,차동터널,차동
터널,신영터널,신영
IC,유구IC,유구
터널,화흥터널,화흥
터널,해월터널,해월
터널,호계터널,호계
IC,마곡사IC,마곡사
JC,서공주JC,서공주
JC,공주JC,공주
IC,공주IC,공주
휴게소,공주휴게소(대전),공주
IC,서세종IC,서세종
IC,남세종IC,남세종
터널,유성터널,유성
JC,유성JC,유성
JC,당진JC,당진
IC,면천IC,면천
IC,고덕IC,고덕
IC,예산수덕IC,예산수덕
터널,대흥터널,대흥
휴게소,예산휴게소(당진),예산
IC,신양IC,신양
터널,차동터널,차동
터널,신영터널,신영
IC,유구IC,유구
터널,화흥터널,화흥
터널,해월터널,해월
터널,호계터널,호계
IC,마곡사IC,마곡사
JC,서공주JC,서공주
JC,공주JC,공주
IC,공주IC,공주
휴게소,공주휴게소(당진),공주
IC,서세종IC,서세종
IC,남세종IC,남세종
터널,유성터널,유성
JC,유성JC,유성
JC,옥산JC,옥산
IC,서오창IC,서오창
JC,오창JC,오창
JC,옥산JC,옥산
IC,서오창IC,서오창
JC,오창JC,오창
IC,통영IC,통영
IC,북통영IC,북통영
터널,통영3터널,통영3
터널,통영2터널,통영2
터널,통영1터널,통영1
IC,동고성IC,동고성
IC,고성IC,고성
터널,고성3터널,고성3
휴게소,고성휴게소(하남),고성
터널,고성2터널,고성2
터널,고성1터널,고성1
IC,연화산IC,연화산
터널,사천3터널,사천3
터널,사천2터널,사천2
터널,사천1터널,사천1
JC,진주JC,진주
터널,신율터널,신율
터널,독산터널,독산
IC,서진주IC,서진주
터널,산청3터널,산청3
IC,단성IC,단성
터널,산청2터널,산청2
휴게소,산청휴게소(하남),산청
터널,산청1터널,산청1
IC,산청IC,산청
IC,생초IC,생초
JC,함양JC,함양
휴게소,함양휴게소(하남),함양
IC,지곡IC,지곡
터널,함양터널,함양
IC,서상IC,서상
터널,육십령터널,육십령
터널,오동터널,오동
JC,장수JC,장수
터널,집재터널,집재
휴게소,덕유산휴게소(하남),덕유산
IC,덕유산IC,덕유산
터널,오두재터널,오두재
터널,적상터널,적상
터널,가옥터널,가옥
IC,무주IC,무주
IC,금산IC,금산
휴게소,인삼랜드휴게소(하남),인삼랜드
IC,추부IC,추부
터널,마달터널,마달
IC,남대전IC,남대전
JC,산내JC,산내
IC,판암IC,판암
JC,비룡JC,비룡
터널,중부3터널,중부3
터널,중부2터널,중부2
터널,중부1터널,중부1
IC,통영IC,통영
IC,북통영IC,북통영
터널,통영3터널,통영3
터널,통영2터널,통영2
터널,통영1터널,통영1
IC,동고성IC,동고성
IC,고성IC,고성
터널,고성3터널,고성3
휴게소,고성휴게소(통영),고성
터널,고성2터널,고성2
터널,고성1터널,고성1
IC,연화산IC,연화산
터널,사천3터널,사천3
터널,사천2터널,사천2
터널,사천1터널,사천1
JC,진주JC,진주
터널,신율터널,신율
터널,독산터널,독산
IC,서진주IC,서진주
터널,산청3터널,산청3
IC,단성IC,단성
터널,산청2터널,산청2
휴게소,산청휴게소(통영),산청
터널,산청1터널,산청1
IC,산청IC,산청
IC,생초IC,생초
JC,함양JC,함양
휴게소,함양휴게소(통영),함양
IC,지곡IC,지곡
터널,함양터널,함양
IC,서상IC,서상
터널,육십령터널,육십령
터널,오동터널,오동
JC,장수JC,장수
터널,집재터널,집재
휴게소,덕유산휴게소(통영),덕유산
IC,덕유산IC,덕유산
터널,오두재터널,오두재
터널,적상터널,적상
터널,가옥터널,가옥
IC,무주IC,무주
IC,금산IC,금산
휴게소,인삼랜드휴게소(통영),인삼랜드
IC,추부IC,추부
터널,마달터널,마달
IC,남대전IC,남대전
JC,산내JC,산내
IC,판암IC,판암
JC,비룡JC,비룡
터널,중부3터널,중부3
터널,중부2터널,중부2
터널,중부1터널,중부1
JC,남이JC,남이
IC,서청주IC,서청주
IC,오창IC,오창
JC,오창JC,오창
휴게소,오창휴게소(하남),오창
IC,증평IC,증평
터널,진천터널,진천
IC,진천IC,진천
JC,대소JC,대소
IC,대소IC,대소
IC,삼성 하이패스 IC,삼성 하이패스 
휴게소,음성휴게소(하남),음성
IC,일죽IC,일죽
IC,남이천IC,남이천
,모가,
JC,호법JC,호법
JC,마장JC,마장
휴게소,마장휴게소(남이),마장
IC,서이천IC,서이천
휴게소,이천휴게소(하남),이천
IC,신둔 하이패스IC,신둔 하이패스
IC,곤지암IC,곤지암
JC,경기광주JC,경기광주
IC,경기광주IC,경기광주
JC,산곡JC,산곡
TG,동서울TG,동서울
IC,하남IC,하남
,만남의광장(하남),
JC,하남JC,하남
JC,남이JC,남이
IC,서청주IC,서청주
IC,오창IC,오창
JC,오창JC,오창
휴게소,오창휴게소(통영),오창
IC,증평IC,증평
터널,진천터널,진천
IC,진천IC,진천
JC,대소JC,대소
IC,대소IC,대소
휴게소,음성휴게소(통영),음성
IC,삼성 하이패스 IC,삼성 하이패스 
IC,일죽IC,일죽
IC,남이천IC,남이천
,모가,
JC,호법JC,호법
JC,마장JC,마장
휴게소,마장휴게소(통영),마장
휴게소,이천휴게소(통영),이천
IC,서이천IC,서이천
IC,신둔 하이패스IC,신둔 하이패스
IC,곤지암IC,곤지암
JC,경기광주JC,경기광주
IC,경기광주IC,경기광주
JC,산곡JC,산곡
TG,동서울TG,동서울
IC,하남IC,하남
휴게소,하남만남휴게소(통영),하남만남
,만남의광장(남이),
JC,하남JC,하남
JC,마장JC,마장
IC,서이천IC,서이천
IC,신둔 하이패스IC,신둔 하이패스
IC,곤지암IC,곤지암
JC,경기광주JC,경기광주
교,신월천교,신월천교
터널,하번천터널,하번천
교,천진암교,천진암교
JC,산곡JC,산곡
터널,광지원터널,광지원
JC,마장JC,마장
IC,서이천IC,서이천
IC,신둔 하이패스IC,신둔 하이패스
IC,곤지암IC,곤지암
JC,경기광주JC,경기광주
교,신월천교,신월천교
터널,하번천터널,하번천
교,천진암교,천진암교
터널,광지원터널,광지원
JC,산곡JC,산곡
JC,서평택JC,서평택
IC,청북IC,청북
JC,평택JC,평택
IC,평택고덕IC,평택고덕
터널,평택터널,평택
IC,송탄IC,송탄
JC,안성JC,안성
IC,서안성IC,서안성
IC,남안성IC,남안성
휴게소,안성맞춤휴게소(음성),안성맞춤
터널,금광1터널,금광1
터널,금광2터널,금광2
터널,금광3터널,금광3
터널,안진터널,안진
IC,북진천IC,북진천
JC,대소JC,대소
IC,금왕꽃동네IC,금왕꽃동네
휴게소,금왕휴게소(제천),금왕
IC,음성IC,음성
IC,서충주IC,서충주
JC,충주JC,충주
JC,노은JC,노은
IC,동충주IC,동충주
휴게소,천등산휴게소(제천),천등산
JC,제천JC,제천
JC,서평택JC,서평택
IC,청북IC,청북
JC,평택JC,평택
IC,평택고덕IC,평택고덕
터널,평택터널,평택
IC,송탄IC,송탄
JC,안성JC,안성
IC,서안성IC,서안성
IC,남안성IC,남안성
휴게소,안성맞춤휴게소(안성),안성맞춤
터널,금광1터널,금광1
터널,금광2터널,금광2
터널,금광3터널,금광3
터널,안진터널,안진
IC,북진천IC,북진천
JC,대소JC,대소
IC,금왕꽃동네IC,금왕꽃동네
휴게소,금왕휴게소(평택),금왕
IC,음성IC,음성
IC,서충주IC,서충주
JC,충주JC,충주
JC,노은JC,노은
IC,동충주IC,동충주
휴게소,천등산휴게소(제천),천등산
JC,제천JC,제천
JC,내서JC,내서
TG,칠원TG,칠원
JC,칠원JC,칠원
IC,칠서IC,칠서
휴게소,칠서휴게소(양평),칠서
IC,남지IC,남지
IC,영산IC,영산
IC,창녕IC,창녕
JC,현풍JC,현풍
JC,고령JC,고령
IC,남성주IC,남성주
휴게소,남성주휴게소(김천),남성주
IC,성주IC,성주
휴게소,성주휴게소(양평),성주
IC,남김천IC,남김천
터널,김천2터널,김천2
터널,김천3터널,김천3
JC,김천JC,김천
IC,선산IC,선산
휴게소,선산휴게소(양평),선산
터널,상주터널,상주
JC,낙동JC,낙동
IC,상주IC,상주
IC,북상주IC,북상주
IC,점촌함창IC,점촌함창
휴게소,문경휴게소(양평),문경
터널,진남터널,진남
IC,문경새재IC,문경새재
터널,문경2터널,문경2
터널,문경새재터널,문경새재
IC,연풍IC,연풍
터널,연풍터널,연풍
휴게소,괴산휴게소(양평),괴산
터널,장연터널,장연
IC,괴산IC,괴산
IC,충주IC,충주
IC,중앙탑 하이패스IC,중앙탑 하이패스
휴게소,충주휴게소(양평),충주
IC,북충주IC,북충주
JC,충주JC,충주
IC,감곡IC,감곡
JC,여주JC,여주
IC,남여주IC,남여주
휴게소,서여주휴게소(강릉),서여주
IC,서여주IC,서여주
IC,북여주IC,북여주
IC,남양평 하이패스IC,남양평 하이패스
IC,양평IC,양평
JC,내서JC,내서
TG,칠원TG,칠원
JC,칠원JC,칠원
IC,칠서IC,칠서
IC,남지IC,남지
휴게소,영산휴게소(내서),영산
IC,영산IC,영산
IC,창녕IC,창녕
JC,현풍JC,현풍
JC,고령JC,고령
IC,남성주IC,남성주
휴게소,남성주휴게소(마산),남성주
IC,성주IC,성주
휴게소,성주휴게소(마산),성주
IC,남김천IC,남김천
터널,김천2터널,김천2
터널,김천3터널,김천3
JC,김천JC,김천
IC,선산IC,선산
휴게소,선산휴게소(내서),선산
터널,상주터널,상주
JC,낙동JC,낙동
IC,상주IC,상주
IC,북상주IC,북상주
IC,점촌함창IC,점촌함창
휴게소,문경휴게소(내서),문경
터널,진남터널,진남
IC,문경새재IC,문경새재
터널,문경2터널,문경2
터널,문경새재터널,문경새재
IC,연풍IC,연풍
터널,연풍터널,연풍
터널,장연터널,장연
휴게소,괴산휴게소(내서),괴산
IC,괴산IC,괴산
IC,충주IC,충주
IC,중앙탑 하이패스IC,중앙탑 하이패스
휴게소,충주휴게소(내서),충주
IC,북충주IC,북충주
JC,충주JC,충주
IC,감곡IC,감곡
JC,여주JC,여주
IC,남여주IC,남여주
휴게소,서여주휴게소(인천),서여주
IC,서여주IC,서여주
IC,북여주IC,북여주
IC,남양평 하이패스IC,남양평 하이패스
IC,양평IC,양평
점,영동선시점,영동선시점
JC,서창JC,서창
JC,월곶JC,월곶
JC,군자JC,군자
TG,군자TG,군자
IC,서안산IC,서안산
IC,안산IC,안산
JC,안산JC,안산
터널,반월터널,반월
JC,둔대JC,둔대
IC,군포IC,군포
IC,동군포IC,동군포
IC,부곡IC,부곡
IC,북수원IC,북수원
터널,광교터널,광교
IC,동수원IC,동수원
JC,신갈JC,신갈
IC,마성IC,마성
IC,마성IC,마성
터널,마성터널,마성
터널,마성터널,마성
IC,용인IC,용인
휴게소,용인휴게소(강릉),용인
터널,양지터널,양지
IC,양지IC,양지
IC,덕평IC,덕평
휴게소,덕평휴게소(강릉),덕평
JC,호법JC,호법
IC,이천IC,이천
휴게소,여주휴게소(강릉),여주
JC,여주JC,여주
IC,여주IC,여주
터널,강천터널,강천
IC,문막IC,문막
휴게소,문막휴게소(강릉),문막
JC,만종JC,만종
JC,원주JC,원주
IC,원주IC,원주
IC,새말IC,새말
휴게소,횡성휴게소(강릉),횡성
IC,둔내IC,둔내
IC,동둔내 하이패스IC,동둔내 하이패스
터널,둔내터널,둔내
IC,면온IC,면온
터널,봉평터널,봉평
IC,평창IC,평창
휴게소,평창휴게소(강릉),평창
IC,속사IC,속사
터널,진부1터널,진부1
터널,진부2터널,진부2
터널,진부3터널,진부3
IC,진부IC,진부
IC,대관령IC,대관령
터널,대관령1터널,대관령1
터널,대관령2터널,대관령2
터널,대관령3터널,대관령3
터널,대관령4터널,대관령4
터널,대관령5터널,대관령5
터널,대관령6터널,대관령6
터널,대관령7터널,대관령7
휴게소,강릉휴게소(강릉),강릉
JC,강릉JC,강릉
점,영동선시점,영동선시점
JC,서창JC,서창
JC,월곶JC,월곶
JC,군자JC,군자
TG,군자TG,군자
IC,서안산IC,서안산
IC,안산IC,안산
JC,안산JC,안산
터널,반월터널,반월
JC,둔대JC,둔대
IC,군포IC,군포
IC,동군포IC,동군포
IC,부곡IC,부곡
IC,북수원IC,북수원
터널,광교터널,광교
IC,동수원IC,동수원
JC,신갈JC,신갈
터널,마성터널,마성
IC,마성IC,마성
IC,마성IC,마성
IC,용인IC,용인
휴게소,용인휴게소(인천),용인
터널,양지터널,양지
IC,양지IC,양지
IC,덕평IC,덕평
휴게소,덕평휴게소(인천),덕평
JC,호법JC,호법
IC,이천IC,이천
휴게소,여주휴게소(인천),여주
JC,여주JC,여주
IC,여주IC,여주
터널,강천터널,강천
휴게소,문막휴게소(인천),문막
IC,문막IC,문막
JC,만종JC,만종
JC,원주JC,원주
IC,원주IC,원주
IC,새말IC,새말
휴게소,횡성휴게소(인천),횡성
IC,둔내IC,둔내
IC,동둔내 하이패스IC,동둔내 하이패스
터널,둔내터널,둔내
IC,면온IC,면온
터널,봉평터널,봉평
IC,평창IC,평창
휴게소,평창휴게소(인천),평창
IC,속사IC,속사
터널,진부1터널,진부1
터널,진부2터널,진부2
터널,진부3터널,진부3
IC,진부IC,진부
IC,대관령IC,대관령
터널,대관령1터널,대관령1
터널,대관령2터널,대관령2
터널,대관령3터널,대관령3
터널,대관령4터널,대관령4
터널,대관령5터널,대관령5
터널,대관령6터널,대관령6
터널,대관령7터널,대관령7
휴게소,강릉휴게소(인천),강릉
JC,강릉JC,강릉
JC,경기광주JC,경기광주
터널,곤지암1터널(동측),곤지암1
IC,동곤지암IC,동곤지암
IC,흥천이포IC,흥천이포
IC,대신IC,대신
IC,동여주IC,동여주
IC,동양평IC,동양평
IC,서원주IC,서원주
JC,신평JC,신평
JC,원주JC,원주
JC,경기광주JC,경기광주
터널,곤지암1터널(동측),곤지암1
IC,동곤지암IC,동곤지암
IC,흥천이포IC,흥천이포
IC,대신IC,대신
IC,동여주IC,동여주
IC,동양평IC,동양평
IC,서원주IC,서원주
JC,신평JC,신평
JC,원주JC,원주
IC,삼락IC,삼락
JC,대저JC,대저
IC,초정IC,초정
TG,대동TG,대동
JC,대감JC,대감
JC,대동JC,대동
JC,금호JC,금호
IC,칠곡IC,칠곡
휴게소,동명휴게소(춘천),동명
터널,다부터널,다부
IC,다부IC,다부
IC,가산IC,가산
JC,군위JC,군위
IC,군위IC,군위
휴게소,군위휴게소(춘천),군위
IC,의성IC,의성
JC,안동JC,안동
IC,남안동IC,남안동
휴게소,안동휴게소(춘천),안동
IC,서안동IC,서안동
터널,보문터널,보문
IC,예천IC,예천
IC,영주IC,영주
IC,풍기IC,풍기
터널,죽령터널,죽령
IC,단양IC,단양
휴게소,단양휴게소(춘천),단양
터널,단양터널,단양
터널,현곡터널,현곡
터널,적성터널,적성
IC,북단양IC,북단양
터널,제천터널,제천
IC,남제천IC,남제천
JC,제천JC,제천
IC,제천IC,제천
IC,신림IC,신림
IC,신림IC,신림
휴게소,치악휴게소(춘천),치악
휴게소,치악휴게소(춘천),치악
터널,치악1터널,치악1
터널,치악1터널,치악1
터널,치악2터널,치악2
터널,치악2터널,치악2
터널,치악3터널,치악3
터널,치악3터널,치악3
터널,치악4터널,치악4
터널,치악4터널,치악4
터널,금대1터널,금대1
터널,금대1터널,금대1
터널,금대2터널,금대2
터널,금대2터널,금대2
IC,남원주IC,남원주
터널,만종터널,만종
JC,만종JC,만종
JC,신평JC,신평
IC,북원주IC,북원주
휴게소,원주휴게소(춘천),원주
IC,횡성IC,횡성
터널,횡성터널,횡성
터널,공근터널,공근
터널,삼마치터널,삼마치
터널,남산터널,남산
IC,홍천IC,홍천
휴게소,홍천강휴게소,홍천강
터널,굴지터널,굴지
JC,춘천JC,춘천
터널,원무1터널,원무1
터널,원무2터널,원무2
터널,원창터널,원창
TG,춘천TG,춘천
점,중앙선종점,중앙선종점
점,중앙선종점,중앙선종점
IC,춘천IC,춘천
IC,삼락IC,삼락
JC,대저JC,대저
IC,초정IC,초정
TG,대동TG,대동
JC,대감JC,대감
JC,대동JC,대동
JC,금호JC,금호
IC,칠곡IC,칠곡
휴게소,동명휴게소(부산),동명
터널,다부터널,다부
IC,다부IC,다부
IC,가산IC,가산
JC,군위JC,군위
IC,군위IC,군위
휴게소,군위휴게소(부산),군위
IC,의성IC,의성
JC,안동JC,안동
IC,남안동IC,남안동
휴게소,안동휴게소(부산),안동
IC,서안동IC,서안동
터널,보문터널,보문
IC,예천IC,예천
IC,영주IC,영주
IC,풍기IC,풍기
터널,죽령터널,죽령
IC,단양IC,단양
터널,단양터널,단양
터널,현곡터널,현곡
터널,적성터널,적성
휴게소,단양휴게소(부산),단양
IC,북단양IC,북단양
터널,제천터널,제천
IC,남제천IC,남제천
JC,제천JC,제천
IC,제천IC,제천
IC,신림IC,신림
IC,신림IC,신림
휴게소,치악휴게소(부산),치악
휴게소,치악휴게소(부산),치악
터널,치악2터널,치악2
터널,치악2터널,치악2
터널,치악3터널,치악3
터널,치악3터널,치악3
터널,치악4터널,치악4
터널,치악4터널,치악4
터널,금대1터널,금대1
터널,금대1터널,금대1
터널,금대2터널,금대2
터널,금대2터널,금대2
IC,남원주IC,남원주
터널,만종터널,만종
JC,만종JC,만종
JC,신평JC,신평
IC,북원주IC,북원주
휴게소,원주휴게소(부산),원주
IC,횡성IC,횡성
터널,횡성터널,횡성
터널,공근터널,공근
터널,삼마치터널,삼마치
터널,남산터널,남산
IC,홍천IC,홍천
터널,굴지터널,굴지
JC,춘천JC,춘천
터널,원무1터널,원무1
터널,원무2터널,원무2
터널,원창터널,원창
휴게소,춘천휴게소(부산),춘천
TG,춘천TG,춘천
점,중앙선종점,중앙선종점
점,중앙선종점,중앙선종점
IC,춘천IC,춘천
JC,대동JC,대동
터널,상동1터널,상동1
IC,상동IC,상동
터널,상동2터널,상동2
터널,용산터널,용산
터널,무척산터널,무척산
터널,생림1터널,생림1
터널,생림2터널,생림2
IC,삼랑진IC,삼랑진
터널,삼랑진터널,삼랑진
IC,남밀양IC,남밀양
터널,가곡터널,가곡
IC,밀양IC,밀양
JC,밀양JC,밀양
터널,고정1터널,고정1
터널,고정2터널,고정2
터널,고정3터널,고정3
터널,청도1터널,청도1
휴게소,청도휴게소(대구),청도
IC,청도IC,청도
터널,청도2터널,청도2
터널,남천터널,남천
IC,수성IC,수성
IC,동대구IC,동대구
JC,동대구JC,동대구
JC,대동JC,대동
터널,상동1터널,상동1
IC,상동IC,상동
터널,상동2터널,상동2
터널,용산터널,용산
터널,무척산터널,무척산
터널,생림1터널,생림1
터널,생림2터널,생림2
IC,삼랑진IC,삼랑진
터널,삼랑진터널,삼랑진
IC,남밀양IC,남밀양
터널,가곡터널,가곡
IC,밀양IC,밀양
JC,밀양JC,밀양
터널,고정1터널,고정1
터널,고정2터널,고정2
터널,고정3터널,고정3
터널,청도1터널,청도1
휴게소,청도휴게소(부산),청도
IC,청도IC,청도
터널,청도2터널,청도2
터널,남천터널,남천
IC,수성IC,수성
IC,동대구IC,동대구
JC,동대구JC,동대구
IC,강일IC,강일
IC,선동IC,선동
IC,미사IC,미사
IC,덕소삼패IC,덕소삼패
TG,남양주TG,남양주
IC,화도IC,화도
IC,서종IC,서종
IC,설악IC,설악
휴게소,가평휴게소(양양),가평
IC,강촌IC,강촌
IC,남춘천IC,남춘천
TG,동산TG,동산
IC,조양IC,조양
JC,춘천JC,춘천
IC,동홍천IC,동홍천
휴게소,홍천휴게소(양양),홍천
IC,내촌IC,내촌
휴게소,내린천휴게소(양양),내린천
IC,인제IC,인제
터널,인제터널,인제
IC,서양양IC,서양양
JC,양양JC,양양
IC,강일IC,강일
IC,선동IC,선동
IC,미사IC,미사
IC,덕소삼패IC,덕소삼패
TG,남양주TG,남양주
IC,화도IC,화도
IC,서종IC,서종
IC,설악IC,설악
휴게소,가평휴게소(서울),가평
IC,강촌IC,강촌
IC,남춘천IC,남춘천
TG,동산TG,동산
IC,조양IC,조양
JC,춘천JC,춘천
IC,동홍천IC,동홍천
휴게소,홍천휴게소(서울),홍천
IC,내촌IC,내촌
휴게소,내린천휴게소(서울),내린천
IC,인제IC,인제
터널,인제터널,인제
IC,서양양IC,서양양
JC,양양JC,양양
IC,근덕IC,근덕
터널,동해터널,동해
IC,삼척IC,삼척
IC,동해IC,동해
터널,강릉1터널,강릉1
터널,강릉2터널,강릉2
터널,강릉3터널,강릉3
터널,강릉4터널,강릉4
IC,망상IC,망상
터널,강릉5터널,강릉5
휴게소,옥계휴게소(속초),옥계
IC,옥계IC,옥계
IC,남강릉IC,남강릉
휴게소,구정휴게소(주문진),구정
IC,강릉IC,강릉
JC,강릉JC,강릉
IC,북강릉IC,북강릉
터널,현남터널,현남
터널,현북터널,현북
IC,남양양IC,남양양
IC,하조대IC,하조대
JC,양양JC,양양
IC,양양IC,양양
IC,북양양IC,북양양
IC,속초IC,속초
IC,근덕IC,근덕
터널,동해터널,동해
IC,삼척IC,삼척
IC,동해IC,동해
터널,강릉1터널,강릉1
터널,강릉2터널,강릉2
터널,강릉3터널,강릉3
터널,강릉4터널,강릉4
터널,강릉5터널,강릉5
IC,망상IC,망상
휴게소,동해휴게소(삼척),동해
IC,옥계IC,옥계
IC,남강릉IC,남강릉
휴게소,구정휴게소(동해),구정
IC,강릉IC,강릉
JC,강릉JC,강릉
터널,현남터널,현남
IC,북강릉IC,북강릉
터널,현북터널,현북
IC,남양양IC,남양양
IC,하조대IC,하조대
JC,양양JC,양양
IC,양양IC,양양
IC,북양양IC,북양양
IC,속초IC,속초
점,부산울산선시점,부산울산선시점
터널,해운대터널,해운대
IC,동부산IC,동부산
IC,해운대IC,해운대
터널,기장1터널,기장1
터널,기장2터널,기장2
IC,일광IC,일광
JC,기장JC,기장
터널,일광터널,일광
IC,장안IC,장안
휴게소,장안휴게소(울산),장안
IC,온양IC,온양
터널,온양터널,온양
IC,청량IC,청량
JC,울주JC,울주
IC,문수IC,문수
터널,문수터널,문수
JC,울산JCT,울산
점,부산울산선시점,부산울산선시점
터널,해운대터널,해운대
IC,동부산IC,동부산
IC,해운대IC,해운대
터널,기장1터널,기장1
터널,기장2터널,기장2
IC,일광IC,일광
JC,기장JC,기장
터널,일광터널,일광
IC,장안IC,장안
휴게소,장안휴게소(부산),장안
IC,온양IC,온양
터널,온양터널,온양
IC,청량IC,청량
JC,울주JC,울주
IC,문수IC,문수
터널,문수터널,문수
JC,울산JCT,울산
JC,울산JCT,울산
IC,범서IC,범서
휴게소,외동휴게소(울산),외동
IC,남경주IC,남경주
IC,동경주IC,동경주
TG,남포항TG,남포항
IC,남포항IC,남포항
JC,울산JCT,울산
IC,범서IC,범서
휴게소,외동휴게소(포항),외동
IC,남경주IC,남경주
IC,동경주IC,동경주
TG,남포항TG,남포항
IC,남포항IC,남포항
JC,판교JC,판교
JC,판교JC,판교
IC,성남IC,성남
IC,성남IC,성남
TG,성남TG,성남
TG,성남TG,성남
IC,송파IC,송파
IC,송파IC,송파
IC,서하남IC,서하남
IC,서하남IC,서하남
터널,광암터널,광암
터널,광암터널,광암
JC,하남JC,하남
JC,하남JC,하남
IC,상일IC,상일
IC,상일IC,상일
IC,강일IC,강일
IC,강일IC,강일
IC,토평IC,토평
IC,토평IC,토평
TG,구리남양주TG,구리남양주
TG,구리남양주TG,구리남양주
IC,남양주IC,남양주
IC,남양주IC,남양주
IC,구리IC,구리
IC,구리IC,구리
휴게소,구리휴게소(퇴계원),구리
휴게소,구리휴게소(퇴계원),구리
IC,퇴계원IC,퇴계원
IC,퇴계원IC,퇴계원
톨게이트,불암산톨게이트,불암산
톨게이트,불암산톨게이트,불암산
IC,별내IC,별내
터널,불암산터널,불암산
터널,수락산터널,수락산
IC,의정부IC,의정부
터널,사패산터널,사패산
IC,송추IC,송추
터널,노고산2터널,노고산2
터널,노고산1터널,노고산1
TG,양주TG,양주
IC,통일로IC,통일로
JC,고양JC,고양
IC,고양IC,고양
IC,일산IC,일산
IC,일산IC,일산
IC,자유로IC,자유로
IC,자유로IC,자유로
IC,김포IC,김포
IC,김포IC,김포
TG,김포TG,김포
TG,김포TG,김포
JC,노오지JC,노오지
JC,노오지JC,노오지
IC,계양IC,계양
IC,계양IC,계양
JC,서운JC,서운
JC,서운JC,서운
IC,중동IC,중동
IC,중동IC,중동
IC,송내IC,송내
IC,송내IC,송내
IC,장수IC,장수
IC,장수IC,장수
IC,장수IC,장수
터널,소래터널,소래
터널,소래터널,소래
터널,소래터널,소래
IC,시흥IC,시흥
IC,시흥IC,시흥
TG,시흥TG,시흥
TG,시흥TG,시흥
JC,안현JC,안현
JC,안현JC,안현
JC,도리JC,도리
JC,도리JC,도리
휴게소,시흥하늘휴게소(구리),시흥하늘
휴게소,시흥하늘휴게소(구리),시흥하늘
JC,조남JC,조남
JC,조남JC,조남
터널,수암터널,수암
터널,수암터널,수암
터널,수리터널,수리
터널,수리터널,수리
IC,산본IC,산본
IC,산본IC,산본
터널,안양터널,안양
터널,안양터널,안양
IC,평촌IC,평촌
IC,평촌IC,평촌
JC,학의JC,학의
JC,학의JC,학의
TG,청계TG,청계
터널,청계터널,청계
JC,판교JC,판교
JC,판교JC,판교
JC,판교JC,판교
IC,성남IC,성남
IC,성남IC,성남
TG,성남TG,성남
TG,성남TG,성남
IC,송파IC,송파
IC,송파IC,송파
IC,서하남IC,서하남
IC,서하남IC,서하남
터널,광암터널,광암
터널,광암터널,광암
휴게소,서하남휴게소(판교),서하남
휴게소,서하남휴게소(판교),서하남
JC,하남JC,하남
JC,하남JC,하남
IC,상일IC,상일
IC,상일IC,상일
IC,강일IC,강일
IC,강일IC,강일
IC,토평IC,토평
IC,토평IC,토평
TG,구리남양주TG,구리남양주
TG,구리남양주TG,구리남양주
